"test_date","seven_day_moving_avg"
"2021-05-01","13348"
"2021-04-30","31821"
"2021-04-29","43392"
"2021-04-28","50057"
"2021-04-27","52095"
"2021-04-26","42641"
"2021-04-25","34695"
"2021-04-24","44972"
"2021-04-23","57087"
"2021-04-22","61084"
"2021-04-21","65780"
"2021-04-20","64596"
"2021-04-19","52471"
"2021-04-18","41178"
"2021-04-17","54446"
"2021-04-16","70511"
"2021-04-15","72779"
"2021-04-14","78375"
"2021-04-13","74579"
"2021-04-12","59435"
"2021-04-11","47804"
"2021-04-10","61781"
"2021-04-09","73337"
"2021-04-08","76358"
"2021-04-07","82873"
"2021-04-06","74605"
"2021-04-05","52230"
"2021-04-04","42808"
"2021-04-03","58349"
"2021-04-02","69726"
